id,municipality_code,municipality,bairro,residents,resident_workers,jobs,lon,lat
RES_0282,3300803,Cachoeiras de Macacu,Municipal total,121,8,0,-42.833063,-22.5765159993305
RES_0283,3300803,Cachoeiras de Macacu,Municipal total,18,1,0,-42.820368,-22.5765999993305
RES_0284,3301702,Duque de Caxias,Municipal total,2565,1010,0,-43.293998,-22.7964339993254
RES_0285,3301702,Duque de Caxias,Municipal total,5341,1977,0,-43.296455,-22.7887329993256
RES_0286,3301702,Duque de Caxias,Municipal total,1402,515,0,-43.296173,-22.7853619993256
RES_0287,3301702,Duque de Caxias,Municipal total,906,352,0,-43.285587,-22.8056589993252
RES_0288,3301702,Duque de Caxias,Municipal total,3072,1148,0,-43.290955,-22.7949729993254
RES_0289,3301702,Duque de Caxias,Municipal total,5460,2064,0,-43.291109,-22.7898799993255
RES_0290,3301702,Duque de Caxias,Municipal total,4471,1671,0,-43.290809,-22.7819689993257
RES_0291,3301702,Duque de Caxias,Municipal total,334,126,0,-43.287242,-22.7772479993258
RES_0292,3301702,Duque de Caxias,Municipal total,5262,1973,0,-43.281949,-22.8056249993252
RES_0293,3301702,Duque de Caxias,Municipal total,720,282,0,-43.286376,-22.7829789993257
RES_0294,3301702,Duque de Caxias,Municipal total,443,148,0,-43.286904,-22.8038569993252
RES_0295,3301702,Duque de Caxias,Municipal total,1848,654,0,-43.279825,-22.8043219993252
RES_0296,3301702,Duque de Caxias,Municipal total,2730,1035,0,-43.286837,-22.7965529993254
RES_0297,3301702,Duque de Caxias,Municipal total,5296,2021,0,-43.29573,-22.7872969993256
RES_0298,3301702,Duque de Caxias,Municipal total,1326,488,0,-43.302928,-22.7944179993254
RES_0299,3301702,Duque de Caxias,Municipal total,5116,1946,0,-43.304295,-22.7891559993256
