origin,destination,observed_2010_expanded,observed_2022_pair,seed_from_2022_containment_2010_shares,balanced_target,change_from_seed,status,actual,target_error,difference_from_historical_2010,historical_change_percent
3302007,3302007,26501.627236490887,,35795.12579626049,35795,-0.1257962604868225,2022 local containment,35795,0,9293.372763509113,35.06717787771457
3302007,3302270,0.0,,0.0437323018314641,1,0.956267698168536,"historical 2010 survey prior, adjusted to modeled margins",1,0,1.0,
3302007,3302502,11.5758541484232,,10.282227488100434,14,3.7177725118995664,"historical 2010 survey prior, adjusted to modeled margins",14,0,2.4241458515767995,20.94139940340388
3302007,3302601,1279.367853599786,,4.6910064973834755,83,78.30899350261653,"historical 2010 survey prior, adjusted to modeled margins",83,0,-1196.367853599786,-93.51242101585865
3302007,3302700,0.0,,0.0259689981700685,1,0.9740310018299314,"historical 2010 survey prior, adjusted to modeled margins",1,0,1.0,
3302007,3302809,14.4033873522844,,0.0,0,0.0,"historical 2010 survey prior, adjusted to modeled margins",0,0,-14.4033873522844,-100.0
3302007,3302858,0.0,,0.0677511677057273,0,-0.0677511677057273,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3302007,3302908,0.0,,6.217459658202346e-08,0,-6.217459658202346e-08,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3302007,3303203,18.9620087608438,,17.263082049809913,10,-7.263082049809913,"historical 2010 survey prior, adjusted to modeled margins",10,0,-8.962008760843801,-47.262971312143804
3302007,3303302,131.1882539925062,,119.37368538221683,55,-64.37368538221683,"historical 2010 survey prior, adjusted to modeled margins",55,0,-76.18825399250619,-58.07551489850475
3302007,3303500,85.9494341017734,,78.31751482067307,31,-47.31751482067307,"historical 2010 survey prior, adjusted to modeled margins",31,0,-54.949434101773406,-63.93228143504394
3302007,3303609,61.91935192863959,,54.062739289391025,384,329.937260710609,"historical 2010 survey prior, adjusted to modeled margins",384,0,322.08064807136043,520.1615295369205
3302007,3303906,0.0,,1.4566063688791744e-08,0,-1.4566063688791744e-08,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3302007,3304003,31.7458054608438,,11.813613221908591,1047,1035.1863867780914,"historical 2010 survey prior, adjusted to modeled margins",1047,0,1015.2541945391562,3198.073508613288
3302007,3304144,0.0,,0.0681987207100269,0,-0.0681987207100269,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3302007,3304409,9.8927450810598,,0.1199682300826683,12,11.880031769917332,"historical 2010 survey prior, adjusted to modeled margins",12,0,2.1072549189401997,21.301013032011248
3302007,3304557,6645.882594136612,,6032.263746378586,4199,-1833.263746378586,"historical 2010 survey prior, adjusted to modeled margins",4199,0,-2446.882594136612,-36.81802318168238
3302007,3304904,11.8935322203152,,11.177149393096933,0,-11.177149393096933,"historical 2010 survey prior, adjusted to modeled margins",0,0,-11.8935322203152,-100.0
3302007,3305109,11.3514320872091,,10.49844956654012,4,-6.4984495665401205,"historical 2010 survey prior, adjusted to modeled margins",4,0,-7.3514320872090995,-64.76215538912277
3302007,3305554,359.0884830692827,,325.70202818528816,834,508.29797181471184,"historical 2010 survey prior, adjusted to modeled margins",834,0,474.9115169307173,132.25473367217063
