id,municipality_code,census_population,age_15_59_measured_or_suppression_proxy,census_municipal_employment_calibrated
RES_0623,3301702,2161,1315.0,817
RES_0624,3301702,197,134.0,83
RES_0625,3301702,2198,1459.0,906
RES_0626,3301702,2482,1629.0,1011
RES_0627,3301702,511,321.0,199
RES_0628,3301702,121,73.0,45
RES_0629,3301702,1056,671.0,417
RES_0630,3301702,4125,2587.0,1606
RES_0631,3301702,2980,1922.0,1193
RES_0632,3301702,154,103.0,64
RES_0633,3301702,2043,1241.0,771
RES_0634,3301702,2043,1294.0,803
RES_0635,3301702,1355,886.0,550
RES_0636,3301702,1142,725.0,450
RES_0637,3301702,668,383.0,238
RES_0638,3301702,883,564.0,350
RES_0639,3301702,1472,947.0,588
RES_0640,3301702,2199,1353.0,840
RES_0641,3301702,3679,2398.0,1489
RES_0642,3301702,2199,1443.0,896
RES_0643,3301702,89,57.0,35
RES_0644,3301702,1671,1021.0,634
RES_0645,3301702,3665,2314.0,1437
RES_0646,3301702,898,593.0,368
RES_0647,3301702,387,256.0,159
RES_0648,3301702,1510,977.0,607
RES_0649,3301702,2539,1638.0,1017
RES_0650,3301702,2272,1480.0,919
RES_0651,3301702,1299,874.0,543
RES_0652,3301702,1183,769.0,477
RES_0653,3301702,1908,1250.4696616681126,776
RES_0654,3301702,765,487.0,302
RES_0655,3301702,182,111.0,69
RES_0656,3301702,2110,1380.0,857
RES_0657,3301702,1950,1217.0,756
RES_0658,3301702,1593,1052.0,653
RES_0659,3301702,1252,834.0,518
RES_0660,3301702,453,301.0,187
RES_0661,3301702,700,472.0,293
RES_0662,3301702,1481,987.0,613
RES_0663,3301702,319,204.0,127
RES_0664,3301702,98,64.0,40
RES_0665,3301702,352,215.0,134
RES_0666,3301702,750,439.0,273
RES_0667,3301702,819,514.0,319
RES_0668,3301702,48,35.0,22
RES_0669,3301702,185,128.0,79
RES_0670,3301702,260,151.0,94
RES_0671,3301702,804,515.0,320
RES_0672,3301702,1106,703.0,437
RES_0673,3301702,1354,867.0,538
RES_0674,3301702,1972,1257.0,781
RES_0675,3301702,1861,1205.0,748
RES_0676,3301702,479,321.0,199
RES_0677,3301702,524,322.0,200
RES_0678,3301702,146,94.0,58
RES_0679,3301702,748,468.0,291
RES_0680,3301702,784,474.0,294
RES_0681,3301702,56,39.0,24
RES_0682,3301702,12,7.703884000495725,5
RES_0683,3301702,91,56.0,35
RES_0684,3301702,128,82.1747626719544,51
RES_0685,3301702,553,343.0,213
RES_0686,3301702,238,144.0,89
RES_0687,3301702,410,328.0,204
RES_0688,3301702,1893,1257.0,781
RES_0689,3301702,2117,1402.0,871
RES_0690,3301702,788,511.0,317
RES_0691,3301702,406,252.0,156
RES_0692,3301702,462,287.0,178
RES_0693,3301702,220,157.0,98
RES_0694,3301702,2402,1480.0,919
RES_0695,3301702,195,137.0,85
RES_0696,3301702,605,362.0,225
RES_0697,3301702,273,151.0,94
RES_0698,3301702,660,405.0,251
RES_0699,3301702,796,522.0,324
RES_0700,3301702,439,315.0,196
RES_0701,3301702,294,169.16141033585328,105
RES_0702,3301702,591,378.0,235
RES_0703,3301702,185,119.30864197530863,74
RES_0704,3301702,109,87.0,54
RES_0705,3301702,127,80.51063829787233,50
RES_0706,3301702,481,317.0,197
RES_0707,3301702,613,400.0,248
