municipality_code,municipality,bairro,residents,resident_workers,jobs,jobs_per_resident,covered_area_km2,jobs_per_km2,residents_per_km2
3304557,Rio de Janeiro,Cosmos,95484,39727,14825,0.15526161451133175,11.261348974238222,1316.4497462883076,8478.91315848855
3304557,Rio de Janeiro,Costa Barros,26149,10471,3129,0.11966040766377299,1.8148365734178922,1724.1221858931,14408.459903777142
3304557,Rio de Janeiro,Curicica,29038,11852,18558,0.6390936014877058,3.3395744134601375,5556.995503739062,8695.119917963944
3304557,Rio de Janeiro,Del Castilho,21684,9215,9731,0.4487640656705405,1.4409183081072854,6753.332194648932,15048.736543907866
3304557,Rio de Janeiro,Deodoro,9976,3911,2377,0.2382718524458701,4.6405236251871385,512.2266778469731,2149.757399327473
3304557,Rio de Janeiro,Encantado,12405,4768,0,0.0,1.060149022426204,0.0,11701.18515188604
3304557,Rio de Janeiro,Engenheiro Leal,5200,2094,0,0.0,0.7082761743297911,0.0,7341.768915099423
3304557,Rio de Janeiro,Engenho Novo,39424,15752,4765,0.12086546266233766,2.6448541469709137,1801.611633464642,14905.925926067166
3304557,Rio de Janeiro,Engenho da Rainha,24188,9598,3873,0.16012072101868696,2.225650906842926,1740.1650852306527,10867.831934303906
3304557,Rio de Janeiro,Engenho de Dentro,42826,16613,9307,0.21732125344416944,3.920451004410914,2373.9615645058843,10923.743199906416
3304557,Rio de Janeiro,Estácio,23260,9643,0,0.0,0.9804032907536752,0.0,23724.93056619497
3304557,Rio de Janeiro,Flamengo,43099,15909,12475,0.2894498712267106,1.6462579637488346,7577.791740239854,26179.97965632044
3304557,Rio de Janeiro,Freguesia (Ilha),15900,6349,3016,0.18968553459119497,4.056413757929286,743.5138967528808,3919.718487523476
3304557,Rio de Janeiro,Freguesia (Jacarepaguá),76235,30208,25704,0.3371679674690103,10.328433605304209,2488.663913838746,7381.080511651758
3304557,Rio de Janeiro,Galeão,20816,8713,12196,0.5858954650269024,18.95747337773698,643.3346763563214,1098.0366204520487
3304557,Rio de Janeiro,Gamboa,11416,4799,766,0.06709880868955852,1.1129057204920747,688.2883122042995,10257.832078491232
3304557,Rio de Janeiro,Gardênia Azul,20188,8740,6647,0.3292550029720626,1.2362948056679364,5376.549322642189,16329.438502407178
