municipality,bairro,population
Rio de Janeiro,Senador Camará,107267
Rio de Janeiro,Senador Vasconcelos,32296
Rio de Janeiro,Sepetiba,59584
Rio de Janeiro,São Conrado,9739
Rio de Janeiro,São Cristóvão,28016
Rio de Janeiro,São Francisco Xavier,6340
Rio de Janeiro,Tanque,36217
Rio de Janeiro,Taquara,107809
Rio de Janeiro,Tauá,26482
Rio de Janeiro,Tijuca,142909
Rio de Janeiro,Todos os Santos,22593
Rio de Janeiro,Tomás Coelho,20343
Rio de Janeiro,Turiaçu,11613
Rio de Janeiro,Urca,5215
Rio de Janeiro,Vargem Grande,21350
Rio de Janeiro,Vargem Pequena,31307
Rio de Janeiro,Vasco da Gama,14471
Rio de Janeiro,Vaz Lobo,10995
Rio de Janeiro,Vicente de Carvalho,21300
Rio de Janeiro,Vidigal,15112
Rio de Janeiro,Vigário Geral,34645
Rio de Janeiro,Vila Isabel,65790
Rio de Janeiro,Vila Kennedy,21749
Rio de Janeiro,Vila Kosmos,14878
Rio de Janeiro,Vila Militar,12956
Rio de Janeiro,Vila Valqueire,34024
Rio de Janeiro,Vila da Penha,21950
Rio de Janeiro,Vista Alegre,7059
Rio de Janeiro,Zumbi,1817
Rio de Janeiro,Água Santa,6419
Seropédica,Seropédica,81044
São Gonçalo,Almerinda,10626
São Gonçalo,Amendoeira,11485
São Gonçalo,Anaia Grande,1328
São Gonçalo,Anaia Pequeno,5773
São Gonçalo,Antonina,6182
São Gonçalo,Apolo III,10638
São Gonçalo,Arrastão,5118
São Gonçalo,Arsenal,12156
São Gonçalo,Barracão,3967
São Gonçalo,Barro Vermelho,9142
São Gonçalo,Barro Vermelho II,3273
São Gonçalo,Boa Vista,14098
São Gonçalo,Boaçu,22620
São Gonçalo,Bom Retiro,23581
São Gonçalo,Brasilândia,1385
São Gonçalo,Brasilândia II,4081
São Gonçalo,Camarão,2897
São Gonçalo,Centro,4705
São Gonçalo,Coelho,15771
São Gonçalo,Colubandê,27997
São Gonçalo,Covanca,6860
São Gonçalo,Covanca II,4902
São Gonçalo,Cruzeiro do Sul,3933
São Gonçalo,Eliane,4130
São Gonçalo,Engenho Pequeno,1906
São Gonçalo,Engenho Pequeno II,8405
São Gonçalo,Engenho do Roçado,6694
São Gonçalo,Estrela do Norte,4432
São Gonçalo,Fazenda dos Mineiros,5881
São Gonçalo,Galo Branco,12770
São Gonçalo,Gebara,489
São Gonçalo,Gradim,12015
São Gonçalo,Guarani,3162
São Gonçalo,Guaxindiba,4582
São Gonçalo,Ieda,4300
São Gonçalo,Ipiíba,1823
São Gonçalo,Itaóca,4275
São Gonçalo,Itaúna,15737
São Gonçalo,Jardim Alcântara,4735
São Gonçalo,Jardim Amendoeira,1109
São Gonçalo,Jardim Catarina,66278
São Gonçalo,Jardim Nova República,6563
São Gonçalo,Jockey,15196
São Gonçalo,Lagoinha,3423
São Gonçalo,Lagoinha II,4424
São Gonçalo,Laranjal,19869
São Gonçalo,Largo da Ideia,1377
São Gonçalo,Largo da Idéia II,612
São Gonçalo,Lindo Parque,1514
São Gonçalo,Lindo Parque II,5491
São Gonçalo,Luiz Caçador,4537
São Gonçalo,Mangueira,2772
São Gonçalo,Marambaia,6808
São Gonçalo,Maria Paula,12910
São Gonçalo,Maria Paula II,4819
São Gonçalo,Miriambi,6836
São Gonçalo,Monjolo,9949
São Gonçalo,Morro do Castro,4956
São Gonçalo,Mutondo,20077
São Gonçalo,Mutuaguaçu,4616
São Gonçalo,Mutuapira,8698
São Gonçalo,Mutuá,9620
São Gonçalo,Neves,8607
São Gonçalo,Neves II,4014
São Gonçalo,Nova Cidade,10656
São Gonçalo,Novo México,2895
São Gonçalo,Pacheco,7117
São Gonçalo,Pacheco II,5631
São Gonçalo,Palmeiras,5204
São Gonçalo,Parada Quarenta,2704
São Gonçalo,Paraíso,5725
São Gonçalo,Patronato,3876
São Gonçalo,Pedro Alcântara,13378
São Gonçalo,Pita,6064
São Gonçalo,Pita II,5576
São Gonçalo,Porto Novo,13697
São Gonçalo,Porto Velho,9981
São Gonçalo,Porto da Madame,6346
São Gonçalo,Porto da Pedra,11469
São Gonçalo,Porto da Rosa,20756
São Gonçalo,Raul Veiga,5925
São Gonçalo,Raul Veiga II,2756
São Gonçalo,Recanto das Acácias,2643
São Gonçalo,Rio do Ouro,9322
São Gonçalo,Rocha,19529
São Gonçalo,Rosane,1211
São Gonçalo,Sacramento,11191
São Gonçalo,Sacramento II,2113
São Gonçalo,Salgueiro,9135
São Gonçalo,Santa Catarina,6795
São Gonçalo,Santa Catarina II,6128
São Gonçalo,Santa Isabel,15731
São Gonçalo,Santa Luzia,15171
São Gonçalo,São Gonçalo,770
São Gonçalo,São Miguel,3558
São Gonçalo,Tenente Jardim,2351
São Gonçalo,Tiradentes,1981
São Gonçalo,Tribobó,1863
São Gonçalo,Tribobó II,3745
São Gonçalo,Tribobó III,11268
São Gonçalo,Trindade,29420
São Gonçalo,Venda da Cruz,8221
São Gonçalo,Vila Candosa,1114
São Gonçalo,Vila Lage,14933
São Gonçalo,Vila Três,4221
São Gonçalo,Vila Yara,3737
São Gonçalo,Vista Alegre,22944
São Gonçalo,Várzea das Moças,3431
São Gonçalo,Zumbi,2914
São Gonçalo,Zé Garoto,684
São Gonçalo,Zé Garoto II,2636
São João de Meriti,Agostinho Porto,11958
São João de Meriti,Centro,24469
São João de Meriti,Coelho da Rocha,36955
São João de Meriti,Engenheiro Belford,11398
São João de Meriti,Jardim Meriti,26158
São João de Meriti,Jardim Metrópole,21157
São João de Meriti,Jardim Paraíso,7975
São João de Meriti,Jardim Sumaré,34755
São João de Meriti,Parque Araruama,30575
São João de Meriti,São Matheus,16318
São João de Meriti,Tomazinho,11737
São João de Meriti,Venda Velha,27648
São João de Meriti,Vila Rosali,21723
São João de Meriti,Vila Tiradentes,15758
São João de Meriti,Vilar dos Teles,86186
São João de Meriti,Éden,56192
