group,municipality_code,municipality,bairro,residents,target_jobs,formal_component_estimated,informal_component_estimated,spatial_source,jobs,rounding_difference,resident_workers,rais_2023_formal_links,cempre_2024_municipality_persons
155,3304557,Rio de Janeiro,São Conrado,10722,6691,4541.09,2149.81,RAIS 2023 neighborhood shares + CEMPRE 2024,6691,0,5336,4038.0,2997653
156,3304557,Rio de Janeiro,São Francisco Xavier,6340,10706,8544.63,2161.42,RAIS 2023 neighborhood shares + CEMPRE 2024,10716,10,3156,7598.0,2997653
157,3304557,Rio de Janeiro,Tanque,31965,10079,4971.81,5107.64,RAIS 2023 neighborhood shares + CEMPRE 2024,10089,10,15909,4421.0,2997653
158,3304557,Rio de Janeiro,Taquara,115345,58226,36912.38,21313.16,RAIS 2023 neighborhood shares + CEMPRE 2024,58226,0,57405,32823.0,2997653
159,3304557,Rio de Janeiro,Tauá,26482,6407,2431.36,3975.12,RAIS 2023 neighborhood shares + CEMPRE 2024,6404,-3,13180,2162.0,2997653
160,3304557,Rio de Janeiro,Tijuca,143224,108839,77555.03,31283.91,RAIS 2023 neighborhood shares + CEMPRE 2024,108836,-3,71287,68963.0,2997653
161,3304557,Rio de Janeiro,Todos os Santos,18938,6588,3480.6,3107.36,RAIS 2023 neighborhood shares + CEMPRE 2024,6584,-4,9426,3095.0,2997653
162,3304557,Rio de Janeiro,Tomás Coelho,19809,3949,1086.35,2862.19,RAIS 2023 neighborhood shares + CEMPRE 2024,3954,5,9860,966.0,2997653
163,3304557,Rio de Janeiro,Turiaçú,11613,6399,4182.35,2216.62,RAIS 2023 neighborhood shares + CEMPRE 2024,6415,16,5780,3719.0,2997653
164,3304557,Rio de Janeiro,Urca,5215,2784,1800.47,983.61,RAIS 2023 neighborhood shares + CEMPRE 2024,2781,-3,2596,1601.0,2997653
